dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,wind_gust,rain,date,hour
2022-05-03 01:00:00,13.51,12.95,1008,78,9.75,0.0,75,10000,5.14,330,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",,{'1h': 0.18},2022-05-03,1
2022-05-03 02:00:00,13.92,13.46,1007,80,10.53,0.0,40,10000,5.66,310,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,,2022-05-03,2
2022-05-03 03:00:00,13.91,13.42,1007,79,10.33,0.0,20,10000,5.66,330,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,,2022-05-03,3
2022-05-03 04:00:00,13.59,13.07,1009,79,10.02,0.0,20,10000,5.66,320,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,,2022-05-03,4
2022-05-03 05:00:00,13.29,12.74,1006,79,9.73,0.0,20,10000,5.14,340,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,,2022-05-03,5
2022-05-03 06:00:00,13.39,12.87,1007,80,10.01,0.0,20,10000,7.2,10,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,,2022-05-03,6
2022-05-03 07:00:00,14.13,13.58,1007,76,9.97,0.38,20,10000,7.72,360,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,,2022-05-03,7
2022-05-03 08:00:00,15.63,15.05,1007,69,9.97,1.21,20,10000,9.26,350,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,,2022-05-03,8
2022-05-03 09:00:00,17.55,16.93,1007,60,9.71,2.63,20,10000,8.23,360,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,,2022-05-03,9
2022-05-03 10:00:00,18.85,18.12,1007,51,8.51,4.45,20,10000,8.75,10,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,,2022-05-03,10
2022-05-03 11:00:00,19.73,19.01,1007,48,8.42,6.15,20,10000,9.26,350,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,,2022-05-03,11
2022-05-03 12:00:00,20.39,19.76,1008,49,9.33,7.24,20,10000,8.23,340,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,,2022-05-03,12
2022-05-03 13:00:00,20.75,20.21,1006,51,10.26,7.36,75,10000,8.75,340,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,,2022-05-03,13
2022-05-03 14:00:00,20.85,20.32,1006,51,10.35,6.51,75,10000,9.26,340,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,,2022-05-03,14
2022-05-03 15:00:00,21.45,20.93,1006,49,10.3,4.93,40,10000,8.23,320,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,,2022-05-03,15
2022-05-03 16:00:00,21.57,21.11,1007,51,11.01,3.04,20,10000,10.8,340,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,,2022-05-03,16
2022-05-03 17:00:00,20.55,19.99,1007,51,10.07,1.52,40,10000,10.29,350,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,,2022-05-03,17
2022-05-03 18:00:00,19.73,19.17,1007,54,10.17,0.54,0,10000,10.29,350,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,,2022-05-03,18
2022-05-03 19:00:00,18.27,17.61,1008,56,9.35,0.07,0,10000,11.32,350,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,,2022-05-03,19
2022-05-03 20:00:00,17.06,16.41,1009,61,9.49,0.0,0,10000,10.29,350,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2022-05-03,20
2022-05-03 21:00:00,16.41,15.8,1009,65,9.82,0.0,0,10000,8.75,360,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2022-05-03,21
2022-05-03 22:00:00,16.42,15.84,1009,66,10.06,0.0,0,10000,8.23,360,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2022-05-03,22
2022-05-03 23:00:00,16.22,15.59,1008,65,9.64,0.0,0,10000,3.6,330,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2022-05-03,23
