dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,weather,date,hour,rain
2022-10-24 08:00:00,16.76,16.66,1016,83,13.86,0.13,20,10000,4.02,270,7.15,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-10-24,8,
2022-10-24 09:00:00,16.86,16.74,1017,82,13.77,0.55,20,10000,3.13,292,4.47,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2022-10-24,9,{'1h': 0.24}
2022-10-24 10:00:00,17.97,17.91,1017,80,14.47,0.85,40,10000,2.06,150,,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}, {'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2022-10-24,10,{'1h': 0.24}
2022-10-24 11:00:00,18.57,18.55,1017,79,14.86,1.4,20,10000,4.92,225,7.15,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}]",2022-10-24,11,
2022-10-24 12:00:00,19.73,19.72,1017,75,15.18,1.79,20,10000,4.47,315,7.15,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-10-24,12,
2022-10-24 13:00:00,21.31,21.27,1016,68,15.17,2.36,20,10000,8.05,225,11.62,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-10-24,13,
2022-10-24 14:00:00,20.88,20.8,1015,68,14.76,1.96,40,10000,8.05,180,14.31,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",2022-10-24,14,
2022-10-24 15:00:00,20.52,20.4,1015,68,14.42,1.29,20,10000,9.39,270,9.83,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-10-24,15,
2022-10-24 16:00:00,20.49,20.37,1015,68,14.39,0.21,20,10000,7.15,315,7.6,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-10-24,16,
2022-10-24 17:00:00,19.85,19.69,1015,69,14.0,0.06,20,10000,9.83,225,9.83,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-10-24,17,
2022-10-24 18:00:00,18.85,18.72,1014,74,14.12,0.0,20,10000,5.81,270,5.81,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2022-10-24,18,
2022-10-24 19:00:00,18.53,18.45,1014,77,14.42,0.0,0,10000,4.47,247,5.81,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-10-24,19,
2022-10-24 20:00:00,18.12,18.08,1014,80,14.62,0.0,0,10000,4.63,190,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-10-24,20,
2022-10-24 21:00:00,17.63,17.56,1014,81,14.33,0.0,20,10000,4.92,270,5.81,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2022-10-24,21,
2022-10-24 22:00:00,17.78,17.73,1014,81,14.48,0.0,0,10000,4.92,270,9.39,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",2022-10-24,22,{'1h': 0.18}
2022-10-24 23:00:00,18.1,18.03,1014,79,14.4,0.0,0,10000,8.49,225,10.28,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-10-24,23,
