dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,rain,wind_gust,date,hour
2022-03-20 21:00:00,11.16,10.63,1009,88,9.25,0.0,75,10000,4.63,120,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,,2022-03-20,21
2022-03-20 22:00:00,11.59,11.08,1009,87,9.5,0.0,75,10000,4.12,120,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,,2022-03-20,22
2022-03-20 23:00:00,11.41,10.88,1009,87,9.33,0.0,75,10000,4.12,100,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,,2022-03-20,23
2022-03-21 00:00:00,11.42,10.86,1009,86,9.16,0.0,75,10000,5.14,110,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,,2022-03-21,0
2022-03-21 01:00:00,11.17,10.59,1009,86,8.92,0.0,75,9000,4.63,110,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.27},,2022-03-21,1
2022-03-21 02:00:00,11.2,10.65,1009,87,9.12,0.0,75,10000,4.12,120,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",{'1h': 0.75},,2022-03-21,2
2022-03-21 03:00:00,11.23,10.68,1008,87,9.15,0.0,75,10000,4.12,120,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.42},,2022-03-21,3
2022-03-21 04:00:00,11.14,10.61,1008,88,9.23,0.0,75,9000,6.17,100,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",{'1h': 1.15},,2022-03-21,4
2022-03-21 05:00:00,11.14,10.61,1008,88,9.23,0.0,75,9000,4.63,90,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,,2022-03-21,5
2022-03-21 06:00:00,11.13,10.62,1008,89,9.39,0.0,75,9000,5.14,100,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,,2022-03-21,6
2022-03-21 07:00:00,11.27,10.83,1009,91,9.86,0.0,75,10000,5.14,100,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,,2022-03-21,7
2022-03-21 08:00:00,11.56,11.12,1009,90,9.98,0.48,100,10000,4.63,100,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",,,2022-03-21,8
2022-03-21 09:00:00,11.9,11.5,1010,90,10.31,1.38,75,10000,4.12,100,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,,2022-03-21,9
2022-03-21 10:00:00,12.66,12.28,1010,88,10.73,2.79,75,10000,4.12,90,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,,2022-03-21,10
2022-03-21 11:00:00,13.55,13.18,1010,85,11.08,4.16,75,10000,4.12,100,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,,2022-03-21,11
2022-03-21 12:00:00,14.68,14.21,1009,77,10.7,5.08,75,10000,2.57,50,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,,2022-03-21,12
2022-03-21 13:00:00,14.88,14.46,1013,78,11.08,4.39,75,10000,3.09,330,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,,2022-03-21,13
2022-03-21 14:00:00,15.55,15.17,1009,77,11.54,3.78,20,10000,4.12,250,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,,2022-03-21,14
2022-03-21 15:00:00,15.06,14.61,1010,76,10.87,2.68,40,10000,5.14,270,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,,2022-03-21,15
2022-03-21 16:00:00,15.47,14.93,1010,71,10.24,1.77,40,10000,4.63,260,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,,2022-03-21,16
2022-03-21 17:00:00,15.53,14.91,1014,68,9.66,0.7,20,10000,5.14,260,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,,2022-03-21,17
2022-03-21 18:00:00,15.05,14.44,1011,70,9.63,0.16,20,10000,4.12,230,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,,2022-03-21,18
2022-03-21 19:00:00,14.05,13.5,1011,76,9.89,0.0,20,10000,3.6,240,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,,2022-03-21,19
2022-03-21 20:00:00,13.11,12.57,1012,80,9.74,0.0,20,10000,3.09,250,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,,2022-03-21,20
2022-03-21 21:00:00,12.76,12.21,1013,81,9.59,0.0,20,10000,2.06,250,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,,2022-03-21,21
2022-03-21 22:00:00,12.61,12.07,1013,82,9.62,0.0,40,10000,2.06,250,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,,2022-03-21,22
2022-03-21 23:00:00,12.25,11.65,1013,81,9.09,0.0,20,10000,1.54,220,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,,2022-03-21,23
